GEOID,prop_white,prop_black_or_african_american,prop_american_indian_and_alaska_native,prop_asian,prop_native_hawaiian_and_other_pacific_islander,prop_some_other_race,prop_multi_racial,prop_latino,land_area_sq_km,pop_density_sq_km,prop_eli,prop_hi,prop_li,prop_mi,prop_vli,prop_college,prop_high_school,prop_less_than_hs,prop_owner,prop_renter,rental_vacancy_rate,owner_vacancy_rate,prop_rural,prop_urban
06071010013,0.3726299496968915,0.018057526118921707,0.0016767702824713015,0.014188056236295628,0,0,0.009544692377144332,0.5839030052882755,15.874142,488.4043496650086,0,0.6251667407736772,0.22810137839039574,0.11338372610048911,0.03334815473543797,0.1444949167207441,0.6164828033744322,0.23902227990482372,0.7029791018230325,0.29702089817696753,0,0.021658415841584157,0.013961605584642234,0.9860383944153578
06071010014,0.15848303393213573,0.06287425149700598,0.006586826347305389,0.0093812375249501,0,0,0,0.7626746506986027,3.951346,1267.9223737936388,0,0.4996220710506425,0.10884353741496598,0.23809523809523808,0.15343915343915343,0.13944530046224962,0.5188751926040062,0.3416795069337442,0.36659108087679515,0.6334089191232048,0,0.053003533568904596,0,1
06071010015,0.32207834781183414,0.009998360924438617,0,0.0021307982297983936,0.005408949352565153,0,0.004261596459596787,0.656121947221767,5.971603,1021.6687211122373,0,0.6832493702770781,0.17884130982367757,0.09256926952141058,0.04534005037783375,0.1371757925072046,0.6086455331412104,0.25417867435158503,0.6643576826196473,0.33564231738035266,0.04136690647482014,0,0,1
06071010016,0.33136710617626647,0.05690492713393477,0,0.01613462873004858,0,0.004510756419153366,0.004684247050659264,0.5863983344899375,5.954851,967.9503315868021,0,0.7221135029354208,0.12720156555772993,0.1095890410958904,0.0410958904109589,0.1334389857369255,0.6497622820919176,0.2167987321711569,0.6125244618395304,0.38747553816046965,0.051118210862619806,0,0,1
06071010017,0.34678661655061926,0.06371310616797092,0.031610080719699306,0.0502803623143755,0,0,0.026680633433976215,0.4809292008133588,74.688384,217.28947837457562,0,0.8690833525744631,0.02932348187485569,0.049642114984991915,0.051951050565689216,0.30813678128256133,0.528369802027091,0.16349341669034764,0.7697991226044794,0.23020087739552067,0,0.0062593144560357675,0.09974320854169483,0.9002567914583052
06071010018,0.2654419595314164,0.08146964856230032,0.00439297124600639,0.06616080937167199,0,0.002263045793397231,0.010250266240681576,0.570021299254526,9.167079,819.4540485578885,0,0.8183183183183184,0.11411411411411411,0.04704704704704705,0.02052052052052052,0.2007910656119125,0.5481619357840857,0.25104699860400187,0.6621621621621622,0.33783783783783783,0.0620782726045884,0.016356877323420074,0,1
06071010019,0.31079737522370254,0.03619009743487771,0,0.008351560946510241,0,0,0.01372042155498111,0.6309405448399285,9.102765,552.4694969056105,0,0.7136021872863978,0.09159261790840738,0.14080656185919344,0.053998632946001365,0.13591301566997122,0.6363927086664535,0.2276942756635753,0.5946684894053315,0.4053315105946685,0.040453074433656956,0,0,1
06071010020,0.2650012553351745,0.08335425558624153,0,0.020336429826763747,0,0.0035149384885764497,0.02096409741400954,0.6068290233492343,6.268283,1270.842430056205,0,0.47953216374269003,0.1476608187134503,0.2236842105263158,0.14912280701754385,0.1314991839589648,0.5982746560969923,0.2702261599440429,0.33881578947368424,0.6611842105263158,0.012896292315959162,0.014507772020725389,0,1
06071010021,0.45344952795933186,0.022367465504720407,0.00392156862745098,0.03340595497458242,0.0049382716049382715,0,0.0024691358024691358,0.4794480755265069,6.442102,1068.7505413605684,0,0.7628235294117647,0.06964705882352941,0.11529411764705882,0.05223529411764706,0.2654488046910239,0.5464591790708164,0.1880920162381597,0.7501176470588236,0.24988235294117647,0,0,0,1
06071010022,0.47568423433612306,0.0160597149966071,0.022166930558697128,0.012440624293146347,0,0.0015833521827640805,0.009952499434517077,0.46211264419814524,5.019286,880.8025683334243,0,0.653179190751445,0.15028901734104047,0.10404624277456648,0.09248554913294797,0.17489475698430923,0.6314580941446614,0.19364714887102946,0.6560693641618497,0.3439306358381503,0,0,0,1
06071010023,0.41451558833389207,0.015085484411666107,0.0018437814280925244,0.025645323499832385,0.003519946362722092,0,0.03184713375796178,0.5075427422058331,6.362367,937.7013303382216,0,0.8161461402474955,0.049499116087212726,0.11019446081319977,0.024160282852091926,0.16703176341730558,0.6462212486308871,0.18674698795180722,0.718326458456099,0.281673541543901,0.07003891050583658,0,0,1
06071010024,0.562488462248477,0.029721247923204727,0,0.008676389145283367,0,0.005168912682296474,0.014029905851947572,0.37991508214879083,99.11177,54.655466247853305,0,0.8087885985748219,0.0510688836104513,0.08194774346793349,0.05819477434679335,0.1929192919291929,0.6654665466546654,0.1416141614161416,0.7915676959619953,0.20843230403800475,0,0,0.1737264415002799,0.8262735584997201
06071010025,0.25700990335282187,0.10774370600167045,2.3863500775563775e-4,0.044505428946426444,3.579525116334566e-4,0,0.030187328481088176,0.5599570456986039,6.891896,1216.0659417959876,0,0.7507105156313439,0.07551766138855055,0.08850994721883881,0.08526187576126674,0.2817419750562257,0.5242281741975057,0.19402985074626866,0.5485180673974828,0.45148193260251723,0.031302876480541454,0,0,1
06071010026,0.27909816815406296,0.14232033818694223,0.0010333489901362142,0.04988257397839361,0.0058243306716768434,0,0.03250352278064819,0.48933771723813996,10.350071,1028.4953600801387,0,0.7284178187403993,0.08571428571428572,0.10476190476190476,0.08110599078341015,0.266857962697274,0.5487007811254583,0.18444125617726764,0.46789554531490013,0.5321044546850998,0.08735868448098665,0.017419354838709676,0,1
06071010300,0.6162758620689656,0.023448275862068966,0.01793103448275862,0.05131034482758621,0,0,0.02289655172413793,0.26813793103448275,18004.913928,0.2013339255325542,0,0.6488319517709118,0.2057272042200452,0.08138658628485305,0.0640542577241899,0.21137873754152825,0.6241694352159468,0.1644518272425249,0.6322532027128862,0.3677467972871138,0.13167259786476868,0,1,0
06071010402,0.6107796541611892,0.06997674183436141,0.0149661239761351,0.012438062493679847,3.033673778946304e-4,0.0018202042673677824,0.06016786328243503,0.229547982606937,2419.433107,4.087321104844252,0,0.7402597402597403,0.040654997176736304,0.15923207227555053,0.059853190287972896,0.3525155065472088,0.6137146795313577,0.033769813921433495,0.00564652738565782,0.9943534726143421,0.03927986906710311,0,0.006870409855484482,0.9931295901445155
