GEOID,median_outage_duration_hr,above_median_cust_affected,prop_white,prop_black_or_african_american,prop_american_indian_and_alaska_native,prop_asian,prop_native_hawaiian_and_other_pacific_islander,prop_some_other_race,prop_multi_racial,prop_latino,pop_density_sq_km,prop_eli,prop_hi,prop_li,prop_mi,prop_vli,prop_college,prop_high_school,prop_less_than_hs,prop_owner,prop_renter,rental_vacancy_rate,owner_vacancy_rate,prop_rural,prop_urban,n_outages_sq_km
06095250106,1.505,0,0.23240316534777175,0.17076218242399,0,0.431695127030404,0,0,0.05518533944189921,0.10995418575593503,254.1361693560892,0.012082444918265814,0.8990760483297797,0,0.06538734896943853,0.023454157782515993,0.5707890318970341,0.36513710128707333,0.06407386681589256,0.8734896943852167,0.12651030561478321,0,0,0.08340888485947416,0.9165911151405258,0.8467677446267029
06095250200,1.9100000000000001,0,0.35644310474755087,0.14945993468977645,0,0.18261743280582768,0.014820396885204722,0,0.06254709871891484,0.23411203215272544,2948.198791986468,0.05817932922655715,0.6659822039698836,0.0944558521560575,0.1697467488021903,0.01163586584531143,0.2838903492301915,0.5906871948929778,0.12542245587683065,0.53251197809719375,0.4674880219028063,0,0.012690355329949238,0,1,26.66042615210069
06095250300,1.745,0,0.2826086956521739,0.19264214046822742,0,0.23210702341137124,0,0.0036789297658862876,0.01939799331103679,0.26956521739130435,2719.650429413701,0.022502250225022502,0.5571557155715572,0.15931593159315932,0.1854185418541854,0.07560756075607561,0.2710371819960861,0.6051859099804305,0.12377690802348336,0.5598559855985599,0.44014401440144013,0.048638132295719845,0,0,1,12.73414916782335
06095250400,1,0,0.38873038516405134,0.14015691868758917,0,0.1137660485021398,0,0.004992867332382311,0.08594864479315265,0.26640513552068473,2512.736185103704,0.08142726440988106,0.6532479414455626,0.10978956999085086,0.11253430924062215,0.043000914913083256,0.2508905852417303,0.6330788804071247,0.11603053435114503,0.6550777676120768,0.34492223238792313,0.12334801762114538,0.02717391304347826,0,1,29.572144831819628
06095250501,1.62,0,0.37488372093023253,0.16697674418604652,0,0.04976744186046512,0.0065116279069767444,0,0.06883720930232558,0.3330232558139535,1627.0203430515637,0.0247074122236671,0.7360208062418726,0.11313394018205461,0.10013003901170352,0.02600780234070221,0.3554054054054054,0.5317567567567567,0.11283783783783784,0.6527958387516255,0.3472041612483745,0.043010752688172046,0,0,1,11.351304718964398
06095250502,1.5,0,0.20463960231980116,0.1123998895332781,0,0.21099143882905275,0,0,0.12289422811378073,0.34907484120408727,1900.8871856790383,0.06576576576576576,0.7297297297297297,0.03153153153153153,0.08648648648648649,0.08648648648648649,0.3821907013396375,0.5468873128447597,0.07092198581560284,0.7198198198198198,0.2801801801801802,0,0,0,1,9.974276864927292
06095250601,1.245,0,0.19673308203195117,0.2173756955663256,3.590019745108598e-4,0.10429007359540478,0,0.001795009872554299,0.0455932507628792,0.4338538861963741,2338.4434051362646,0.08915971776779986,0.796023091725465,0.04682488774855677,0.061577934573444515,0.006414368184733804,0.3007268322228952,0.6005451241671714,0.09872804360993337,0.6658114175753689,0.3341885824246312,0,0,0,1,8.395057997258174
06095250605,7.34,1,0.27772397094430995,0.15980629539951574,0,0.30363196125907993,0.004842615012106538,0,0.0837772397094431,0.17021791767554478,1365.917352408992,0.02992021276595745,0.8464095744680851,0.02127659574468085,0.08976063829787234,0.012632978723404254,0.5127460471119716,0.45466279444982255,0.03259115843820587,0.6894946808510638,0.31050531914893614,0,0,0,1,4.29949771944719
06095250801,1.5,0,0.30419837957279644,0.291431377363123,0,0.14191013994598575,0.037809968082494476,0,0.03928308372207218,0.18536705131352813,105.48019736839208,0.05284280936454849,0.7638795986622073,0.03545150501672241,0.10234113712374582,0.04548494983277592,0.418293564714389,0.48879248011569054,0.09291395516992046,0.44816053511705684,0.5518394648829431,0.06915477497255763,0.07493188010899182,0.023232065356139902,0.9767679346438601,0.28487163541672306
06095250900,0.915,0,0.20967159870083002,0.4352219415373511,0,0.1519307109346806,0,0,0.06062793215445687,0.14254781667268135,3408.9888552760594,0.14882697947214077,0.32991202346041054,0.1429618768328446,0.09604105571847507,0.28225806451612906,0.23644251626898047,0.5683297180043384,0.19522776572668113,0.10117302052785923,0.8988269794721407,0.07110778443113773,0,0,1,24.604755361068634
06095251100,1.4,0,0.1641307866623503,0.29718355454839757,0.004208481709291033,0.08546455163483328,0,0,0.03820006474587245,0.4108125606992554,2873.424221226689,0.11461067366579178,0.5599300087489064,0.13910761154855644,0.14173228346456693,0.04461942257217848,0.2610046607975142,0.5447954427757639,0.19419989642672192,0.37270341207349084,0.6272965879265092,0.05739795918367347,0,0,1,24.1855065561327
06095251200,1.83,0,0.19339752407152683,0.1359009628610729,0,0.13342503438789546,0.007702888583218707,0.0038514442916093533,0.03741403026134801,0.48830811554332876,3032.697231693897,0.02476038338658147,0.6238019169329073,0.12939297124600638,0.14616613418530353,0.07587859424920128,0.15937101572460688,0.5711857203569911,0.26944326391840207,0.4169329073482428,0.5830670926517572,0.02796271637816245,0,0,1,17.52039666178042
06095251300,1.34,0,0.5049216186656945,0.07437112650382792,0.004739336492890996,0.1082756106452789,0.014218009478672985,0,0.05942398833394094,0.23405030987969377,2185.6904606523926,0.0181190681622088,0.7886108714408974,0.05263157894736842,0.090595340811044,0.05004314063848145,0.4967978042086002,0.42772186642268983,0.07548032936870998,0.7385677308024159,0.2614322691975841,0.04113924050632911,0.047830923248053395,0,1,15.13967143725682
06095251400,1.17,0,0.4185446413211767,0.12747290555651128,0.002408394976776191,0.12936521589540684,0.01513848271116463,0,0.02563220368140375,0.28143815585756066,2576.428581559278,0.05466540999057493,0.7469368520263902,0.0471253534401508,0.13242224316682374,0.01885014137606032,0.3577292986159981,0.5482054890921886,0.09406521229181328,0.590009425070688,0.40999057492931196,0.09563409563409564,0,0,1,26.14988582693917
06095251500,1.335,0,0.19873510094867428,0.296035027973729,0,0.05740695694478229,0,0,0.06810994891753831,0.3797129652152761,2986.0568360436164,0.1093969144460028,0.5014025245441796,0.1570827489481066,0.18092566619915848,0.05119214586255259,0.19620743034055727,0.5812693498452013,0.22252321981424147,0.2482468443197756,0.7517531556802244,0.03770197486535009,0,0,1,20.33801785677968
