GEOID,outage_duration_hr,mean_cust_affected,cust_affected_flag
06001404200,6.16,58,0
06085504201,6.5,3,0
06011000200,2.01,13,0
06055200706,5,17,0
06097152600,0.83,1,0
06057000200,2.01,1,0
06001405401,2.17,53,0
06029003124,0.66,1,0
06001430102,19.33,12,0
06029000904,2,1,0
06001443301,2.33,1,0
06109003100,9.66,4,0
06107000202,19.66,3,0
06023010902,21.17,1,0
06089012603,0.17,3,0
06019005602,0.33,60,0
06081613000,0.5,91.5,1
06085504422,4.33,258,1
06077001300,4.33,13,0
06085504422,4.33,25,0
06041112202,1.17,1,0
06089012603,0.17,2,0
06097154100,0.83,105,1
06101051100,3.5,1,0
06113010800,5.17,1,0
06001440301,1.17,9,0
06017031302,1.33,1,0
06057000402,2.83,3,0
06097154302,6.5,4,0
06075035300,0.67,1,0
06001404200,5.67,1,0
06047001402,0,1,0
06007001600,5,1,0
06057000402,6,1,0
06001441800,1.17,1,0
06085508503,3.33,22,0
06013334200,0.85,1,0
06087101100,2.34,1,0
06089012601,3,1,0
06029005201,0.33,1,0
06019006405,1.17,1,0
06081603802,2.67,1,0
06001404400,10.16,28,0
06085510300,3.33,28,0
06087110502,1.5,1,0
06099000102,1.84,2,0
06017031504,0,3,0
06075025900,1.84,35,0
06085507401,3.5,1,0
06085506502,0.84,1,0
06001421200,1.5,1,0
06017031402,4.01,2,0
06019003301,1.18,1,0
06001403501,0.34,102,1
06019006403,0.83,1,0
06079013000,1.67,1,0
06101051100,0,1,0
06101051100,0,1,0
06101051100,1.84,49,0
06101051100,0,1,0
06101051100,0,1,0
06019005302,4.17,1,0
06095251200,6,1,0
06101051100,0,1,0
06019006405,0.51,1,0
06041119100,3.17,8,0
06019006404,0.66,2,0
06013354002,2,2,0
06077003208,0.66,1,0
06085506502,0.34,1,0
06017030902,2.83,3,0
06089012603,0.17,1,0
06081602300,5.67,1,0
06075013200,1.5,1,0
06083001906,1.17,1,0
06023000700,0.17,12,0
06081608800,4.17,1,0
06085507905,2.83,1,0
06017030602,0.49,1,0
06081609202,1.16,1,0
06087122400,3.33,3,0
06089012603,0.83,1,0
06087122400,3.33,6,0
06041109001,1.33,1,0
06081606500,8.32,8,0
06019006501,0.16,1,0
06001441200,16.66,1.5,0
06029003700,8.49,1,0
06019006404,0.66,1,0
06013302010,2.65,1,0
06097153300,2.82,1,0
06053014107,3.83,1.5,0
06007002200,6.49,5,0
06007002500,4.32,1,0
06023000800,0.99,1,0
06039000109,3.33,1,0
06057000402,0,1,0
06019006403,0.32,2,0
06053012800,2.49,1,0
06033000600,1.16,1,0
06103000100,3.16,2,0
06075021700,1.83,1,0
06095252201,2.49,1,0
06029003900,0.66,1,0
06001435104,0.99,3,0
06001440301,1.16,1,0
06033000300,2.49,1,0
06075032700,1.33,1,0
06109003100,3.51,1,0
06081604700,5,1,0
06001432800,1,1,0
06081603200,1.33,2,0
06001423000,1.33,1,0
06113011002,2.33,1,0
06047001401,4.33,1,0
06013364002,4.16,906.5,1
06013364002,0,823,1
06063000400,2.66,4,0
06013392200,0.33,1,0
06063000400,0.83,1,0
06013364002,0,1,0
06095251500,1.5,1,0
06081600200,1.67,1,0
06075030700,1.16,25,0
06085508303,3.66,1,0
06019006404,1.33,1,0
06019004801,2.83,1,0
06019007700,4.33,1,0
06007003600,2.66,2.5,0
06081613700,1.83,1,0
06089012400,5,1.5,0
06017030902,2.16,1,0
06081604101,3.83,1,0
06001423300,1.5,1,0
06013302010,2.5,1,0
06041101200,1.5,2,0
06019005522,0.33,1,0
06087120900,2,6,0
06013303204,0,1,0
06041117000,3.5,67,0
06061021801,0,2,0
06115041100,3.5,1,0
06075017700,0,1,0
06019006404,0.67,1,0
06009000122,1.5,1,0
06055201800,2.17,1,0
06057000102,2.83,3,0
06019006404,0.66,1,0
06017031402,2,1,0
06001430102,1.33,1,0
06097151201,1.17,1,0
06053013700,2.67,1,0
06097153902,0.99,2.5,0
06089012604,1.99,2,0
06017030602,1.99,8,0
06057000103,0.99,2,0
06097153501,2.34,1,0
06053011900,1.16,2,0
06001436500,0,1,0
06085503115,0.99,1,0
06017031504,0.17,3,0
06019006201,2.34,1,0
06089012604,0.34,1,0
06019005522,2.17,1,0
06055201900,3,8,0
06019007300,5.83,1,0
06001408500,1.17,1,0
06081611600,1.5,1,0
06053010501,3.17,1,0
06029004500,6,1,0
06089012604,0.5,1,0
06081607800,2.66,1,0
06017031504,0.33,2,0
06095253300,1,1,0
06019005517,2.5,1,0
06019006404,0.66,2,0
06031000100,8.16,1,0
06019006404,1.33,1,0
06109005100,1.49,1,0
06019005409,0.67,10,0
06039000602,2.66,1,0
06013301000,2.16,1,0
06075026100,4.16,1,0
06085508101,1.33,3.5,0
06019007600,1.83,1,0
06087121200,1.34,1,0
06079011704,0.83,1,0
06113011500,9.67,1,0
06019005409,1.67,1,0
06029005201,0,2,0
06075030700,0,1,0
06081609201,7.5,1,0
06057000103,1.34,2,0
06053011303,0.66,1,0
06107000401,1,1,0
06081607702,0.66,1,0
06115040200,0.33,1,0
06017031504,2,28,0
06019006404,0.33,1,0
06047002201,0.5,1,0
06013302009,4.33,86.5,1
06075030700,0.17,1,0
06017031402,22.5,10,0
06029003304,1.5,1,0
06033001300,2.17,1,0
06077005130,1.5,1,0
06001442400,3.83,20,0
06075030700,9.18,25,0
06057000103,3.17,2,0
06013303103,2.17,1,0
06011000500,1,1,0
06087122400,0,1,0
06069000300,0.16,1,0
06103000200,0.33,6,0
06019006202,0.99,1,0
06115040901,1.16,1,0
06103000300,1,1,0
06085502902,0,1,0
06041110100,2.17,1,0
06029005201,0.18,1,0
06081605400,5.17,1,0
06105000400,3.34,1,0
06013313101,1.17,1,0
06087120800,0,1,0
06001421500,0.66,1,0
06017030602,1.49,1,0
06019006404,0.49,2,0
06077001000,0.49,1,0
06109002200,2.49,1,0
06061021502,0.83,1,0
06017030603,6.16,1,0
06095253402,0.66,1,0
06081602900,0.5,21,0
